Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,Size
0.06974128233970756,0.24756602625407786,0.22681740182372456,0.9563667229502235,0.8229952148710837,0.1133467357302882,0.7780972827643005,0.7641711887794418,0.8441997801696218,0.006535589655992324,0.14314820047163013,0.18067735120467399,0.1283989285103051,0.9000760427309902,0.9195803638999376,0.9612355722972485,0.983286096607784,0.3401690885331386,0.4729811256466787,0.2900084013105374,0.31347078142118207,1.0
0.0708661417322835,0.26539970193863216,0.23010157395311492,0.9760895070591471,0.8969781458651256,0.21766791822032694,0.7822527366508214,0.7403824229589266,0.8211297109524306,0.996321588008938,0.12121524191594313,0.1555095942212697,0.12000835469829818,0.8989487652770848,0.9184020055370069,0.9569109227582365,0.9783224163338567,0.3383748944041747,0.467915131362246,0.28690065293201905,0.3087952223268315,1.0
0.07199100112485934,0.2916611180629539,0.23002378041431681,0.9912861599183083,0.9560242389099018,0.2982228563283147,0.7824528940091947,0.715838700172278,0.7951630035248491,0.9806317305634344,0.09459802483855756,0.13628982001039525,0.10894016025835179,0.9001127052687314,0.9160294321315887,0.9524991568600221,0.9732446674989227,0.33637817639416573,0.4636292369892019,0.28556958033743385,0.3063783792103701,1.0
0.0731158605174353,0.3187419807836088,0.21580250232708154,0.999836563376149,0.9868144469851345,0.3605241624881681,0.7768232051819828,0.6900173000977384,0.7729316632799876,0.9610318737920975,0.06391574350774865,0.11419016890561706,0.09764522462173092,0.90296759976526,0.9094284436401867,0.9480330196186839,0.965757884352635,0.33512432498694994,0.4581124559710102,0.2833530790476383,0.3022499825125943,1.0
0.07424071991001124,0.34374926390213467,0.21746186298306225,1.0,0.9933344121593057,0.41257819179271804,0.7680112220197496,0.6590072954051814,0.7533522248899255,0.941050448471529,0.0337507663841502,0.09185324205940548,0.09148986883653348,0.9063819903901937,0.9039913972767053,0.9451084863028314,0.9595510575339686,0.3318769188876953,0.4550720888220357,0.28152366031216736,0.30029363722322944,1.0
0.0753655793025872,0.3650929393138289,0.20069942725529266,0.9905227273370767,0.983904514054184,0.45057687351741804,0.7595786198295235,0.62792894763208,0.7253287651048652,0.919950050824852,0.00435798818222255,0.06602830627150091,0.08198375865343999,0.909241580924781,0.8973239403652364,0.9397418551207555,0.9493466189833809,0.3281510696309245,0.451423338816366,0.2786565110185213,0.2971925451925737,1.0
0.07649043869516309,0.37642999176791214,0.17003138162366205,0.9712034908812268,0.9610349974775243,0.4656804673115691,0.748073617322386,0.595558517644247,0.7054504761902762,0.8992153855795684,0.9770070469674577,0.04063091483969217,0.07410879668186177,0.9131705726324719,0.8917332931478793,0.934888920523726,0.9441539814777538,0.32532012240773817,0.4461019617735389,0.27508736444556686,0.2936368560357692,1.0
0.07761529808773904,0.38168163696023616,0.1362908621776402,0.948039837444921,0.9111617414706172,0.462178855549662,0.7325369185670885,0.5665740336019593,0.6832992295956566,0.8828379013274859,0.9498252378648651,0.020623810849041135,0.0674241568258847,0.9168696754247923,0.8853996387132509,0.9274548926511967,0.9383825569881068,0.3211582226810804,0.4431560175684448,0.2720300703214326,0.2922692391718278,1.0
0.07874015748031499,0.3832208919329043,0.09006421556136113,0.9236241640367451,0.8504642637300162,0.45548637066029163,0.7098523672489433,0.54282479631818,0.6707579839410128,0.8634974805132557,0.9221420823127122,0.0027850571050375694,0.06237189599110937,0.9193719610860666,0.880865755745543,0.9199498457211268,0.9370638349114515,0.3174309162520653,0.4388766902079758,0.26798543406088327,0.2893666315741689,1.0
0.07986501687289088,0.38279140305547,0.05910774532654717,0.8834817562702058,0.7633340178091057,0.4470654110213912,0.6888809320369365,0.5188989642031296,0.6642843403972172,0.8462324507871959,0.898211754038102,0.9931033665214445,0.06434509267194632,0.9175000749564608,0.8746231332841738,0.9111393163154234,0.9308576763736375,0.31508223126499146,0.4354346764742127,0.264602336364427,0.28772304392817977,1.0
0.08098987626546678,0.37858810509825236,0.04154383582137844,0.8456694822777637,0.6667037300054162,0.43389573814232185,0.6703701583848423,0.5002302830826137,0.650377140860134,0.8341085734278062,0.8764116422056171,0.9826355933576266,0.06752943308308806,0.9193707502499568,0.868131692199354,0.901162732493389,0.9239810825219361,0.3111415417973997,0.4314054950521805,0.260619536721893,0.2872984274783178,1.0
